logz logzerr logvol nlive logl logwt insert_order
-2.892200536861571670e+07 3.712494696559282602e+05 -8.800000000000006428e-02 1.000000000000000000e+03 -2.874721972211602330e+07 -2.874722671837126091e+07 5.999999999999999778e-01
-2.874722671837126091e+07 4.249497332260424737e+05 -8.900000000000006517e-02 1.000000000000000000e+03 -2.868582764008720219e+07 -2.868583463734243810e+07 9.559999999999999609e-01
-2.868583463734243810e+07 1.932520995241527271e+05 -9.000000000000006606e-02 1.000000000000000000e+03 -2.868196942600637302e+07 -2.868197642426161095e+07 6.280000000000000027e-01
-2.868197642426161095e+07 1.066288199934672775e+03 -9.100000000000006695e-02 1.000000000000000000e+03 -2.861866273976430669e+07 -2.861866973901954293e+07 5.999999999999999778e-01
-2.861866973901954293e+07 3.199153627872036304e+04 -9.200000000000006783e-02 1.000000000000000000e+03 -2.788521015414423868e+07 -2.788521715439947695e+07 1.124000000000000110e+00
-2.788521715439947695e+07 3.746166787138546351e+05 -9.300000000000006872e-02 1.000000000000000000e+03 -2.786050328487706557e+07 -2.786051028613230214e+07 1.864000000000000101e+00
-2.786051028613230214e+07 3.713752471316361334e+05 -9.400000000000006961e-02 1.000000000000000000e+03 -2.780430918097456172e+07 -2.780431618322980031e+07 1.346000000000000085e+00
-2.780431618322980031e+07 3.270844759416426532e+05 -9.500000000000007050e-02 1.000000000000000000e+03 -2.758394803169292212e+07 -2.758395503494815901e+07 4.540000000000000147e-01
-2.758395503494815901e+07 3.018635066715695430e+05 -9.600000000000007139e-02 1.000000000000000000e+03 -2.733546650924206153e+07 -2.733547351349730045e+07 1.000000000000000056e-01
-2.733547351349730045e+07 1.075957564605340303e+05 -9.700000000000007228e-02 1.000000000000000000e+03 -2.717087404724648222e+07 -2.717088105250171944e+07 1.409999999999999920e+00
-2.717088105250171944e+07 7.758931691931279784e+04 -9.800000000000007316e-02 1.000000000000000000e+03 -2.667980731728664041e+07 -2.667981432354187593e+07 9.439999999999999503e-01
-2.667981432354187593e+07 2.925906570506129065e+05 -9.900000000000007405e-02 1.000000000000000000e+03 -2.667124604679751024e+07 -2.667125305405274779e+07 6.740000000000000435e-01
-2.667125305405274779e+07 2.191546204379976843e+05 -1.000000000000000749e-01 1.000000000000000000e+03 -2.626204017755091190e+07 -2.626204718580614775e+07 2.020000000000000129e-01
-2.626204718580614775e+07 2.827233048956263810e+05 -1.010000000000000758e-01 1.000000000000000000e+03 -2.599941797946193814e+07 -2.599942498871717602e+07 6.420000000000000151e-01
-2.599942498871717602e+07 2.344062336168982729e+05 -1.020000000000000767e-01 1.000000000000000000e+03 -2.586298626406015828e+07 -2.586299327431539446e+07 1.671999999999999931e+00
-2.586299327431539446e+07 1.156982935440587898e+05 -1.030000000000000776e-01 1.000000000000000000e+03 -2.563757822765483707e+07 -2.563758523891007528e+07 1.665999999999999925e+00
-2.563758523891007528e+07 1.216250163962804654e+05 -1.040000000000000785e-01 1.000000000000000000e+03 -2.545921312701276317e+07 -2.545922013926799968e+07 6.059999999999999831e-01
-2.545922013926799968e+07 8.408248903233995952e+04 -1.050000000000000794e-01 1.000000000000000000e+03 -2.514741599929900095e+07 -2.514742301255423948e+07 1.260000000000000009e+00
-2.514742301255423948e+07 1.826727841032687575e+05 -1.060000000000000803e-01 1.000000000000000000e+03 -2.503794505532337725e+07 -2.503795206957861409e+07 1.875999999999999890e+00
-2.503795206957861409e+07 1.652500866382162785e+05 -1.070000000000000812e-01 1.000000000000000000e+03 -2.486950827688068524e+07 -2.486951529213592410e+07 1.278000000000000025e+00
-2.486951529213592410e+07 1.087676575169793796e+05 -1.080000000000000820e-01 1.000000000000000000e+03 -2.466428375838987157e+07 -2.466429077464510873e+07 1.423999999999999932e+00
-2.466429077464510873e+07 1.599360819416565646e+05 -1.090000000000000829e-01 1.000000000000000000e+03 -2.448298038446986303e+07 -2.448298740172509849e+07 4.319999999999999951e-01
-2.448298740172509849e+07 7.850627300920101698e+04 -1.100000000000000838e-01 1.000000000000000000e+03 -2.427739281382083520e+07 -2.427739983207607269e+07 6.919999999999999485e-01
-2.427739983207607269e+07 1.486137839937312237e+05 -1.110000000000000847e-01 1.000000000000000000e+03 -2.398725143169171736e+07 -2.398725845094695315e+07 4.079999999999999738e-01
-2.398725845094695315e+07 1.945064502912447206e+05 -1.120000000000000856e-01 1.000000000000000000e+03 -2.371798879527270049e+07 -2.371799581552793831e+07 1.082000000000000073e+00
-2.371799581552793831e+07 1.653816062291359121e+05 -1.130000000000000865e-01 1.000000000000000000e+03 -2.338131850639963523e+07 -2.338132552765487134e+07 8.200000000000000344e-02
-2.338132552765487134e+07 1.254693210753056337e+05 -1.140000000000000874e-01 1.000000000000000000e+03 -2.333193922629240900e+07 -2.333194624854764715e+07 4.839999999999999858e-01
-2.333194624854764715e+07 1.006175128873073409e+05 -1.150000000000000883e-01 1.000000000000000000e+03 -2.292644968461839855e+07 -2.292645670787363499e+07 1.977999999999999980e+00
-2.292645670787363499e+07 2.597353207492427900e+05 -1.160000000000000892e-01 1.000000000000000000e+03 -2.271268529218885303e+07 -2.271269231644409150e+07 2.580000000000000071e-01
-2.271269231644409150e+07 2.708953282552509336e+05 -1.170000000000000900e-01 1.000000000000000000e+03 -2.219219118786854669e+07 -2.219219821312378347e+07 7.820000000000000284e-01
-2.219219821312378347e+07 2.914767379229758517e+05 -1.180000000000000909e-01 1.000000000000000000e+03 -2.212734692286354303e+07 -2.212735394911878183e+07 1.762000000000000011e+00
-2.212735394911878183e+07 2.177350980961538735e+05 -1.190000000000000918e-01 1.000000000000000000e+03 -2.192934566378458962e+07 -2.192935269103982672e+07 7.479999999999999982e-01
-2.192935269103982672e+07 1.022735310001685721e+05 -1.200000000000000927e-01 1.000000000000000000e+03 -2.164751509966478124e+07 -2.164752212792002037e+07 5.180000000000000160e-01
-2.164752212792002037e+07 1.389445648162055877e+05 -1.210000000000000936e-01 1.000000000000000000e+03 -2.133502699998543039e+07 -2.133503402924066782e+07 1.717999999999999972e+00
-2.133503402924066782e+07 1.784980852956073650e+05 -1.220000000000000945e-01 1.000000000000000000e+03 -2.132744347212890163e+07 -2.132745050238413736e+07 1.980000000000000093e-01
