Teff logg R Av
3.318215296649087577e+03 4.542924580392202927e+00 5.160056819693584762e-01 1.826868790458063607e+00
3.294957374332865129e+03 4.658185025109236044e+00 5.253007648006345898e-01 1.896860853029773475e+00
3.339989889269358628e+03 4.491305446681205460e+00 5.132582948752238972e-01 1.799709883663093368e+00
3.243155756702840335e+03 4.876513070129076866e+00 5.400095623143581491e-01 1.889804481215492382e+00
3.237142546941603086e+03 4.614736308448541990e+00 5.262161033538075294e-01 1.748623554247557221e+00
3.269214867826605769e+03 4.785850926357623436e+00 5.267241867869857375e-01 1.862804741916408435e+00
3.268335222910753146e+03 4.794810716673559625e+00 5.278693484754384269e-01 1.796782910598626604e+00
3.291786194998415795e+03 4.521140751615383202e+00 5.155341286072593343e-01 1.773842363489802842e+00
3.291233247018504244e+03 4.540352296035235824e+00 5.231546796676167510e-01 1.745876707048561016e+00
3.364258188104151486e+03 4.879590857877978749e+00 5.208326046266013032e-01 1.881261687403430694e+00
3.268506634252061303e+03 4.494375260669421834e+00 5.220576246540470366e-01 1.806713456682217389e+00
3.339834848348916239e+03 4.886996474496552167e+00 5.202919642013532631e-01 1.927524370319095626e+00
3.284330660644308864e+03 4.542828934464420598e+00 5.227163373151527681e-01 1.790056425360082359e+00
3.272205359139514258e+03 4.558810033766656389e+00 5.243527905302123315e-01 1.792876423483269699e+00
3.273622728314578126e+03 4.643030075653607369e+00 5.271659367292729215e-01 1.837709516570007695e+00
3.336262050381713379e+03 4.490484195247415045e+00 5.083621978773325001e-01 1.667874418994916841e+00
3.245950929892810564e+03 5.269840396661525261e+00 5.418461614993227426e-01 1.870850562947473428e+00
3.267152511522990608e+03 4.795795738885451520e+00 5.252866957401154391e-01 1.755303071549269900e+00
3.264072593788076119e+03 4.918399774441780892e+00 5.297408506097442960e-01 1.851098860113562949e+00
3.279422976482649119e+03 4.819796584609575163e+00 5.240225898709180985e-01 1.804961207857748828e+00
3.206903919461371515e+03 4.654134727222992041e+00 5.357104055600456771e-01 1.679654302510081854e+00
3.269131472887107520e+03 4.444779083097503580e+00 5.231864257997572709e-01 1.787189231236252951e+00
3.283760609745670081e+03 4.518321224717755769e+00 5.185098182845685466e-01 1.719339700244976843e+00
3.268853564877226745e+03 4.589986123780398053e+00 5.305944539789275716e-01 1.792009674343180592e+00
3.200147565108556137e+03 4.668911693251535766e+00 5.414470274370112302e-01 1.885544489949505742e+00
3.301940629085481305e+03 4.292963518731227168e+00 5.031839335952335013e-01 1.597009841508504557e+00
3.327617750562706533e+03 4.607538722655672103e+00 5.130216555046526183e-01 1.760441088894595163e+00
