weight logl Teff logg R Av
0.000000000000000000e+00 -2.545921312701276317e+07 5.942747667231947917e-01 4.889036146801650773e-01 7.654422391685695715e-01 5.552819282066345785e-02
0.000000000000000000e+00 -2.514741599929900095e+07 7.441340519450961866e-01 9.711447685006390218e-01 7.305887670977165849e-01 1.420301579861495966e-01
0.000000000000000000e+00 -2.503794505532337725e+07 5.346995339954948578e-01 8.656344173329688640e-01 8.260363953173448515e-01 9.458458803864111530e-02
0.000000000000000000e+00 -2.486950827688068524e+07 5.870858157810873168e-01 3.801601415742816847e-02 9.199771565353858094e-01 6.578013313763783065e-01
0.000000000000000000e+00 -2.466428375838987157e+07 5.486410426782659666e-01 9.208463107106361623e-01 8.555716073918775422e-01 1.817108835418399515e-01
0.000000000000000000e+00 -2.448298038446986303e+07 9.394515330665338393e-01 6.983027922886784200e-01 7.737786993118828116e-01 6.115093665636049947e-01
0.000000000000000000e+00 -2.427739281382083520e+07 6.162854419003297446e-01 4.280602337388306200e-02 9.994880711105909032e-01 9.727801208384074805e-01
0.000000000000000000e+00 -2.398725143169171736e+07 3.026445200564953364e-01 3.073934072180856125e-01 9.928294229491647638e-01 1.256678265688523366e-01
0.000000000000000000e+00 -2.371798879527270049e+07 8.264296822850953905e-01 4.111686175195854442e-01 8.199856335284650966e-01 7.064359683888384867e-01
0.000000000000000000e+00 -2.338131850639963523e+07 2.350406249912722068e-01 4.275048099362993570e-01 9.996187498346197353e-01 2.979118750836129426e-02
0.000000000000000000e+00 -2.333193922629240900e+07 8.554083128578136019e-01 1.474480807976625840e-01 7.309568357921053527e-01 4.797629333813269170e-01
0.000000000000000000e+00 -2.292644968461839855e+07 6.349826502627495817e-01 1.401179047592038263e-02 7.987146337626709336e-01 4.294611229196593216e-01
0.000000000000000000e+00 -2.271268529218885303e+07 7.740318147222549072e-01 5.723801126333899481e-01 9.421824703831539471e-01 9.160909528869072282e-01
0.000000000000000000e+00 -2.219219118786854669e+07 7.180234532567575378e-01 9.085452587107183398e-01 8.942297089344478644e-01 5.989102300444596461e-01
0.000000000000000000e+00 -2.212734692286354303e+07 3.263353992241343482e-01 7.482270144039037119e-01 9.964625043739332444e-01 2.134851912642471428e-01
0.000000000000000000e+00 -2.192934566378458962e+07 5.813189859928319381e-01 2.060263995418589733e-01 8.783069036405343200e-01 5.276347381135626513e-01
